"ID","item","lifestyle","retirementtype","budgetperweek","category","startdate","enddate"
453,22,1,2,40.08,1,2023-03-01,2023-06-30
454,22,1,2,41.2,1,2023-03-01,2023-06-30
455,22,1,1,37.8,1,2023-03-01,2023-06-30
456,22,2,1,31.48,1,2023-03-01,2023-06-30
457,23,1,2,42.68,1,2023-03-01,2023-06-30
458,23,2,2,38.97,1,2023-03-01,2023-06-30
459,23,1,1,42.68,1,2023-03-01,2023-06-30
460,23,2,1,36.72,1,2023-03-01,2023-06-30
461,24,1,2,25.31,1,2023-03-01,2023-06-30
462,24,2,2,25.31,1,2023-03-01,2023-06-30
463,24,1,1,21.79,1,2023-03-01,2023-06-30
464,24,2,1,21.79,1,2023-03-01,2023-06-30
465,25,1,2,7.77,1,2023-03-01,2023-06-30
466,25,2,2,0.0,1,2023-03-01,2023-06-30
467,25,1,1,7.77,1,2023-03-01,2023-06-30
468,25,2,1,0.0,1,2023-03-01,2023-06-30
469,26,1,2,23.29,1,2023-03-01,2023-06-30
470,26,2,2,23.29,1,2023-03-01,2023-06-30
471,26,1,1,23.29,1,2023-03-01,2023-06-30
472,26,2,1,23.29,1,2023-03-01,2023-06-30
473,27,1,2,60.48,2,2023-03-01,2023-06-30
474,27,2,2,51.7,2,2023-03-01,2023-06-30
475,27,1,1,48.77,2,2023-03-01,2023-06-30
476,27,2,1,38.49,2,2023-03-01,2023-06-30
477,28,1,2,243.57,3,2023-03-01,2023-06-30
478,28,2,2,200.94,3,2023-03-01,2023-06-30
479,28,1,1,140.14,3,2023-03-01,2023-06-30
480,28,2,1,108.39,3,2023-03-01,2023-06-30
481,85,1,2,29.06,4,2023-03-01,2023-06-30
482,85,2,2,20.11,4,2023-03-01,2023-06-30
483,85,1,1,22.33,4,2023-03-01,2023-06-30
484,85,2,1,17.85,4,2023-03-01,2023-06-30
485,86,1,2,30.52,5,2023-03-01,2023-06-30
486,86,2,2,18.24,5,2023-03-01,2023-06-30
487,86,1,1,23.39,5,2023-03-01,2023-06-30
488,86,2,1,18.24,5,2023-03-01,2023-06-30
489,87,1,2,7.54,5,2023-03-01,2023-06-30
490,87,2,2,7.22,5,2023-03-01,2023-06-30
491,87,1,1,5.39,5,2023-03-01,2023-06-30
492,87,2,1,5.16,5,2023-03-01,2023-06-30
493,88,1,2,26.42,5,2023-03-01,2023-06-30
494,88,2,2,11.69,5,2023-03-01,2023-06-30
495,88,1,1,17.21,5,2023-03-01,2023-06-30
496,88,2,1,7.01,5,2023-03-01,2023-06-30
497,89,1,2,9.32,5,2023-03-01,2023-06-30
498,89,2,2,2.72,5,2023-03-01,2023-06-30
499,89,1,1,9.1,5,2023-03-01,2023-06-30
500,89,2,1,2.72,5,2023-03-01,2023-06-30
501,90,1,2,5.07,5,2023-03-01,2023-06-30
502,90,1,1,5.07,5,2023-03-01,2023-06-30
503,90,2,1,2.85,5,2023-03-01,2023-06-30
504,91,1,2,18.35,5,2023-03-01,2023-06-30
505,91,2,2,3.01,5,2023-03-01,2023-06-30
506,91,1,1,16.94,5,2023-03-01,2023-06-30
507,91,2,1,3.01,5,2023-03-01,2023-06-30
508,92,1,2,7.87,5,2023-03-01,2023-06-30
509,92,1,1,7.87,5,2023-03-01,2023-06-30
510,92,2,1,0.0,5,2023-03-01,2023-06-30
511,94,1,2,182.85,7,2023-03-01,2023-06-30
512,94,2,2,107.9,7,2023-03-01,2023-06-30
513,94,1,1,171.11,7,2023-03-01,2023-06-30
514,94,2,1,103.67,7,2023-03-01,2023-06-30
515,95,1,2,5.33,7,2023-03-01,2023-06-30
516,95,2,2,5.33,7,2023-03-01,2023-06-30
517,95,1,1,2.67,7,2023-03-01,2023-06-30
518,95,2,1,2.67,7,2023-03-01,2023-06-30
519,96,1,2,93.52,8,2023-03-01,2023-06-30
520,96,2,2,35.74,8,2023-03-01,2023-06-30
521,96,1,1,46.75,8,2023-03-01,2023-06-30
522,96,2,1,17.87,8,2023-03-01,2023-06-30
523,97,1,2,48.46,8,2023-03-01,2023-06-30
524,97,2,2,24.23,8,2023-03-01,2023-06-30
525,97,1,1,27.9,8,2023-03-01,2023-06-30
526,97,2,1,13.94,8,2023-03-01,2023-06-30
527,98,1,2,63.79,8,2023-03-01,2023-06-30
528,98,2,2,47.18,8,2023-03-01,2023-06-30
529,98,1,1,35.39,8,2023-03-01,2023-06-30
530,98,2,1,23.6,8,2023-03-01,2023-06-30
531,99,1,2,6.02,8,2023-03-01,2023-06-30
532,99,2,2,0.0,8,2023-03-01,2023-06-30
533,99,1,1,3.01,8,2023-03-01,2023-06-30
534,99,2,1,0.0,8,2023-03-01,2023-06-30
535,100,1,2,6.55,9,2023-03-01,2023-06-30
536,100,2,2,4.36,9,2023-03-01,2023-06-30
537,100,1,1,4.39,9,2023-03-01,2023-06-30
538,100,2,1,3.27,9,2023-03-01,2023-06-30
539,101,1,2,11.98,9,2023-03-01,2023-06-30
540,101,2,2,3.21,9,2023-03-01,2023-06-30
541,101,1,1,11.98,9,2023-03-01,2023-06-30
542,101,2,1,3.21,9,2023-03-01,2023-06-30
543,102,1,2,45.06,9,2023-03-01,2023-06-30
544,102,2,2,25.47,9,2023-03-01,2023-06-30
545,102,1,1,21.58,9,2023-03-01,2023-06-30
546,102,2,1,16.9,9,2023-03-01,2023-06-30
547,103,1,2,94.12,9,2023-03-01,2023-06-30
548,103,2,2,49.31,9,2023-03-01,2023-06-30
549,103,1,1,67.23,9,2023-03-01,2023-06-30
550,103,2,1,29.13,9,2023-03-01,2023-06-30
551,104,1,2,10.91,9,2023-03-01,2023-06-30
552,104,2,2,13.09,9,2023-03-01,2023-06-30
553,104,1,1,6.55,9,2023-03-01,2023-06-30
554,104,2,1,6.55,9,2023-03-01,2023-06-30
555,105,1,2,88.04,9,2023-03-01,2023-06-30
556,105,2,2,61.52,9,2023-03-01,2023-06-30
557,105,1,1,57.84,9,2023-03-01,2023-06-30
558,105,2,1,38.99,9,2023-03-01,2023-06-30
559,106,1,2,37.51,9,2023-03-01,2023-06-30
560,106,2,2,0.0,9,2023-03-01,2023-06-30
561,106,1,1,23.67,9,2023-03-01,2023-06-30
562,106,2,1,0.0,9,2023-03-01,2023-06-30
563,107,1,2,31.59,9,2023-03-01,2023-06-30
564,107,2,2,16.48,9,2023-03-01,2023-06-30
565,107,1,1,23.0,9,2023-03-01,2023-06-30
566,107,2,1,12.26,9,2023-03-01,2023-06-30
567,93,1,2,52.15,6,2023-03-01,2023-06-30
568,93,2,2,39.84,6,2023-03-01,2023-06-30
569,93,1,1,28.0,6,2023-03-01,2023-06-30
570,93,2,1,20.96,6,2023-03-01,2023-06-30
571,108,1,2,1.21,9,2023-03-01,2023-06-30
572,108,2,2,0.46,9,2023-03-01,2023-06-30
573,108,1,1,1.21,9,2023-03-01,2023-06-30
